table_name,field_name,language,translation,record_id,field_value
stops,stop_name,sv,Sädesärlegatan,1346,
stops,stop_name,sv,Lidvägen,1265,
stops,stop_name,sv,Åbo flygplats,1586,
stops,stop_name,en,Turku airport,1586,
stops,stop_name,sv,Rauniplan,39,
stops,stop_name,sv,Peltola,1472,
stops,stop_name,sv,Suikkilavägen,968,
stops,stop_name,sv,Vasaparken,528,
stops,stop_name,sv,Nylandsvägen,863,
stops,stop_name,sv,Browalliusgränden,1442,
stops,stop_name,sv,Kärmelägatan,1370,
stops,stop_name,sv,Skomakeregatan,275,
stops,stop_name,sv,Paavolaplan,743,
stops,stop_name,sv,Saramäkivägen,227,
stops,stop_name,sv,Tiipilävägen,1165,
stops,stop_name,sv,Skolgatan,72,
stops,stop_name,sv,Rimitogatan,1712,
stops,stop_name,sv,Ilpoisbrinken,518,
stops,stop_name,sv,Legatgränden,1630,
stops,stop_name,sv,S:t Mariebassängen,252,
stops,stop_name,sv,Östra centrum,645,
stops,stop_name,sv,Grusgatan,1457,
stops,stop_name,sv,Jalkasuovägen,896,
stops,stop_name,sv,Tallgrensgatan,1623,
stops,stop_name,sv,Suikkila,485,
stops,stop_name,sv,Ahtolavägen,692,
stops,stop_name,sv,Kaerlavägen,623,
stops,stop_name,sv,Orms gränd,830,
stops,stop_name,sv,Perno gård,773,
stops,stop_name,sv,Simhallen,709,
stops,stop_name,sv,Linhagsgatan,808,
stops,stop_name,sv,Maanpäävägen,438,
stops,stop_name,sv,Flygarvägen,650,
stops,stop_name,sv,Moisio skola,1063,
stops,stop_name,sv,Joenperävägen,1134,
stops,stop_name,sv,Talpiagränden,831,
stops,stop_name,sv,Joachimsgatan,512,
stops,stop_name,sv,Rävkärrsvägen,1211,
stops,stop_name,sv,Virusmäkivägen,201,
stops,stop_name,sv,Orvovägen,1281,
stops,stop_name,sv,Pitkämäkiparken,891,
stops,stop_name,sv,Moikoisgatan,333,
stops,stop_name,sv,Sporrgatan,1214,
stops,stop_name,sv,Reso å,723,
stops,stop_name,sv,Nylandstull,134,
stops,stop_name,sv,Reningsverket,527,
stops,stop_name,sv,Kakskerta kyrkväg,1758,
stops,stop_name,sv,Rauniplan,21,
stops,stop_name,sv,Fängelset,312,
stops,stop_name,sv,Stenkonsvägen,467,
stops,stop_name,sv,Jyrkkälä,758,
stops,stop_name,sv,Varvets gamla port,1824,
stops,stop_name,sv,Karhulavägen,1082,
stops,stop_name,sv,Autisplan,20,
stops,stop_name,sv,Lugnetvägen,539,
stops,stop_name,sv,Perno gård,777,
stops,stop_name,sv,Sjömansgatan,1694,
stops,stop_name,sv,Vattenverket,1403,
stops,stop_name,sv,Koroisvägen,1625,
stops,stop_name,sv,Biskopsö N,8211,
stops,stop_name,sv,Vägmästargatan,1570,
stops,stop_name,sv,Västra bågen,742,
stops,stop_name,sv,Sampogatan,843,
stops,stop_name,sv,Karris stig,1549,
stops,stop_name,sv,Ekvägen,61,
stops,stop_name,sv,Margaretavägen,311,
stops,stop_name,sv,Bergengatan,484,
stops,stop_name,sv,Gertrudsbacken,867,
stops,stop_name,sv,Jänessaarivägen,437,
stops,stop_name,sv,Stenkullegränden,1296,
stops,stop_name,sv,Slalombacken,361,
stops,stop_name,sv,Kanslersvägen,530,
stops,stop_name,sv,Gamla Kungsbäcksvägen,825,
stops,stop_name,sv,Folkparksvägen,666,
stops,stop_name,sv,Hennalavägen,372,
stops,stop_name,sv,Auvaismäki,1102,
stops,stop_name,sv,Yli-Rokki,1163,
stops,stop_name,sv,Kylmänalhogatan,1097,
stops,stop_name,sv,Yli-Rokki,1135,
stops,stop_name,sv,Kakola,9,
stops,stop_name,sv,Brinkhallsvägen,379,
stops,stop_name,sv,Hamarogatan,233,
stops,stop_name,sv,Parolaparken,1013,
stops,stop_name,sv,Korpoström,8310,
stops,stop_name,sv,Datacity,1046,
stops,stop_name,sv,Vikom N,8206,
stops,stop_name,sv,Centrum,T13,
stops,stop_name,en,City centre,T13,
stops,stop_name,sv,Kurala,56,
stops,stop_name,sv,Regementsvägen,1705,
stops,stop_name,sv,Nybyvägen,383,
stops,stop_name,sv,Vajoskärrsgatan,1231,
stops,stop_name,sv,Länsinummi,818,
stops,stop_name,sv,Satava,370,
stops,stop_name,sv,Marttilavägen,191,
stops,stop_name,sv,Samslax Ö,8240,
stops,stop_name,sv,Saarenoja,1073,
stops,stop_name,sv,Moikoisgatan,293,
stops,stop_name,sv,Sockenskomakaregatan,29,
stops,stop_name,sv,Uittamo ändhållplats,1704,
stops,stop_name,sv,Ilpoisvägen,506,
stops,stop_name,sv,Kotimäkigatan,59,
stops,stop_name,sv,Kungsbäcksvägen,1547,
stops,stop_name,sv,Johannehöjden,1027,
stops,stop_name,sv,Murkiogatan,519,
stops,stop_name,sv,Pyhtybacksvägen,496,
stops,stop_name,sv,Prostvik brygga N,8186,
stops,stop_name,sv,Aatila strandväg,1284,
stops,stop_name,sv,Orms gränd,887,
stops,stop_name,sv,Kopparö N,8168,
stops,stop_name,sv,Harlax skola,69,
stops,stop_name,sv,Simhallen,440,
stops,stop_name,sv,Tieragatan,1671,
stops,stop_name,sv,Becktranevägen,402,
stops,stop_name,sv,Fängelset,300,
stops,stop_name,sv,Untolagatan,1023,
stops,stop_name,sv,Formansgatan,1544,
stops,stop_name,sv,Kaarlejokivägen,1143,
stops,stop_name,sv,Brahegatan,16,
stops,stop_name,sv,Luolavuori skola,1720,
stops,stop_name,sv,Centrum,T12,
stops,stop_name,en,City centre,T12,
stops,stop_name,sv,Stenkullegränden,1322,
stops,stop_name,sv,Kakskertagården,1293,
stops,stop_name,sv,Varvstranden V,8259,
stops,stop_name,sv,Fridhemsvägen,538,
stops,stop_name,sv,Mässcentrum,1525,
stops,stop_name,sv,Ikkalavägen,1140,
stops,stop_name,sv,Tammimäki,566,
stops,stop_name,sv,Arthursgatan,581,
stops,stop_name,sv,Palli,958,
stops,stop_name,sv,Luolavuorivägen,858,
stops,stop_name,sv,Palttagatan,183,
stops,stop_name,sv,Västra centrum,1530,
stops,stop_name,sv,Varkkabergsgatan,37,
stops,stop_name,sv,Söderstuvägen V,8261,
stops,stop_name,sv,Tegelslagaregatan,75,
stops,stop_name,sv,Artukais fabrik,680,
stops,stop_name,sv,Selgatan,656,
stops,stop_name,sv,Kohmo,1650,
stops,stop_name,sv,Muhkuri,899,
stops,stop_name,sv,Axelsvägen,769,
stops,stop_name,sv,Nagu,8220,
stops,stop_name,sv,Hansängen,58,
stops,stop_name,sv,Jokelavägen,1157,
stops,stop_name,sv,Ekvägen,120,
stops,stop_name,sv,Rådmansstigen,701,
stops,stop_name,sv,Lillträsket,8235,
stops,stop_name,sv,Svalsvängen,1964,
stops,stop_name,sv,Ässjegatan,668,
stops,stop_name,sv,Gloriagränden,651,
stops,stop_name,sv,Antesgränden,1785,
stops,stop_name,sv,Pulkkavuori,517,
stops,stop_name,sv,Viertolavägen,961,
stops,stop_name,sv,Ahtolavägen,1344,
stops,stop_name,sv,Rusthållsbrinken,951,
stops,stop_name,sv,Sädesärlegatan,1341,
stops,stop_name,sv,Kastuvägen,627,
stops,stop_name,sv,Kaislahtivägen,1763,
stops,stop_name,sv,Sakeris gränd,1551,
stops,stop_name,sv,Murkiogatan,514,
stops,stop_name,sv,Lustigkullavägen,1295,
stops,stop_name,sv,Dragonparken,1342,
stops,stop_name,sv,Moisio,1078,
stops,stop_name,sv,Gungbacksvägen,1110,
stops,stop_name,sv,Kohmogränden,1652,
stops,stop_name,sv,Ritzgränden,1622,
stops,stop_name,sv,Nummisparkgatan,1326,
stops,stop_name,sv,Jalkasuovägen,902,
stops,stop_name,sv,Linhagsgatan,827,
stops,stop_name,sv,Bockabergsvägen N,8164,
stops,stop_name,sv,Kärrtorpsgränden,1371,
stops,stop_name,sv,Sävvägen,320,
stops,stop_name,sv,Knutsvägen,770,
stops,stop_name,sv,Bäckbrinksvägen,1426,
stops,stop_name,sv,Gamla Auvaismäkivägen,1393,
stops,stop_name,sv,Västerlånggatan,145,
stops,stop_name,sv,Lalax,1424,
stops,stop_name,sv,Kopplingsgatan,1611,
stops,stop_name,sv,Särkilaxvägen,1482,
stops,stop_name,sv,Koslätt åkern S,8191,
stops,stop_name,sv,Gamla Beckholmsvägen,1726,
stops,stop_name,sv,Haihuvägen,1772,
stops,stop_name,sv,Regionhuset,1128,
stops,stop_name,sv,Kullamäkivägen,241,
stops,stop_name,sv,Moikois,90,
stops,stop_name,sv,Regementsvägen,1187,
stops,stop_name,sv,Kämnersstigen,699,
stops,stop_name,sv,Slalombacken,93,
stops,stop_name,sv,Aatilahagen,1248,
stops,stop_name,sv,Houtskär vsk,8323,
stops,stop_name,sv,Suikkilaparken,965,
stops,stop_name,sv,Oxbacka,760,
stops,stop_name,sv,Rojolavägen,259,
stops,stop_name,sv,Biolinjen,712,
stops,stop_name,sv,Kyrkvaktmästarvägen,1647,
stops,stop_name,sv,Parkbacksgatan,641,
stops,stop_name,sv,Kuttervägen,129,
stops,stop_name,sv,Hampgatan,1475,
stops,stop_name,sv,Fiskarsgatan,711,
stops,stop_name,sv,Kråkkärret,1664,
stops,stop_name,sv,Godsstationen,909,
stops,stop_name,sv,Skolgatan,206,
stops,stop_name,sv,Folkparksvägen,537,
stops,stop_name,sv,Lyftkransgatan,1207,
stops,stop_name,sv,Fårvaktargatan,1369,
stops,stop_name,sv,Findron V,8199,
stops,stop_name,sv,Storkärrsvägen,1068,
stops,stop_name,sv,Villa Y-Hovi,557,
stops,stop_name,sv,Lindplatsen,688,
stops,stop_name,sv,Forum Marinum,53,
stops,stop_name,sv,Veckarn V,8189,
stops,stop_name,sv,Harlaxvägen,419,
stops,stop_name,sv,Fastlagsgatan,282,
stops,stop_name,sv,Toukolaskvären,960,
stops,stop_name,sv,Rosenkvarteret,1798,
stops,stop_name,sv,Trätorget,PT3,
stops,stop_name,en,Puutori square,PT3,
stops,stop_name,sv,Talinkorpivägen,490,
stops,stop_name,sv,Göransplan,1050,
stops,stop_name,sv,Havskantsvägen,893,
stops,stop_name,sv,Tomtebacken,102,
stops,stop_name,sv,Korpoströmsvägen 101 V,8286,
stops,stop_name,sv,Bendby V,8293,
stops,stop_name,sv,Kuppis bollhall,1034,
stops,stop_name,sv,Talinkorpivägen,480,
stops,stop_name,sv,Miljoonatie,1035,
stops,stop_name,sv,Markulavägen,27,
stops,stop_name,sv,Fårvaktargatan,1365,
stops,stop_name,sv,Kåren,219,
stops,stop_name,sv,Elinavägen,214,
stops,stop_name,sv,Lukoilavägen,1021,
stops,stop_name,sv,Idrottshuset,1092,
stops,stop_name,sv,Hammarbacka,501,
stops,stop_name,sv,Sandviken V,8257,
stops,stop_name,sv,Samppalinna skola,158,
stops,stop_name,sv,Ilmarinengatan,1673,
stops,stop_name,sv,Honkapirtti,543,
stops,stop_name,sv,Pärnäs färja V,8255,
stops,stop_name,sv,Ässjegatan,611,
stops,stop_name,sv,Posten,109,
stops,stop_name,sv,Idrottsparken,139,
stops,stop_name,sv,Fölvägen,235,
stops,stop_name,sv,Vaistevägen,1060,
stops,stop_name,sv,Lantvärnsgatan,986,
stops,stop_name,sv,Vesivuotavavägen,897,
stops,stop_name,sv,Mikaelskyrkan,171,
stops,stop_name,sv,Fredsgatan,1838,
stops,stop_name,sv,Helasvägen,1389,
stops,stop_name,sv,Bryggeriet,8,
stops,stop_name,sv,Valmetgatan,671,
stops,stop_name,sv,Mäkelävägen,1154,
stops,stop_name,sv,Doppingvägen,1604,
stops,stop_name,sv,Inspektorsgatan,451,
stops,stop_name,sv,Koumvägen Ö,8244,
stops,stop_name,sv,Patis kyrka,1170,
stops,stop_name,sv,Kreivilä skola,1124,
stops,stop_name,sv,Vaistevägen,1084,
stops,stop_name,sv,Lergatan,63,
stops,stop_name,sv,Hingstallen,236,
stops,stop_name,sv,Suikkila köpcentrum,478,
stops,stop_name,sv,Kåren,280,
stops,stop_name,sv,Sysilax N,8156,
stops,stop_name,sv,Sjö-Penilävägen,1240,
stops,stop_name,sv,Rieskalähdevägen,1004,
stops,stop_name,sv,Verkahovi,1602,
stops,stop_name,sv,Spillkråkegatan,1963,
stops,stop_name,sv,Kaivasvägen,1136,
stops,stop_name,sv,Kuppis station,870,
stops,stop_name,sv,Huvudhälsocentralen,1800,
stops,stop_name,sv,Varvsstranden,790,
stops,stop_name,sv,Pargas busstation,8137,
stops,stop_name,sv,Hepokulta,26,
stops,stop_name,sv,Brännskogsvägen,322,
stops,stop_name,sv,Jäkärlä,1360,
stops,stop_name,sv,Spännetunet,147,
stops,stop_name,sv,Idrottshallen,1045,
stops,stop_name,sv,Prästsundsgatan,1431,
stops,stop_name,sv,Doppingvägen,1603,
stops,stop_name,sv,Hirvensalobron,83,
stops,stop_name,sv,Frälsegatan,1751,
stops,stop_name,sv,Ekstocksgränden,329,
stops,stop_name,sv,Kittuis N,8313,
stops,stop_name,sv,Granskogsgränden,323,
stops,stop_name,sv,Hangslax Ö,8202,
stops,stop_name,sv,Huiskulavägen,1112,
stops,stop_name,sv,Karelengatan,1491,
stops,stop_name,sv,Sankta Marias väg,444,
stops,stop_name,sv,Vatagränden,1749,
stops,stop_name,sv,Nuntiegränden,1632,
stops,stop_name,sv,Perogatan,874,
stops,stop_name,sv,Sommelovägen,425,
stops,stop_name,sv,Valuvägen,1160,
stops,stop_name,sv,Nybyvägen,373,
stops,stop_name,sv,Beckholmen,127,
stops,stop_name,sv,Wattkastvägen S,8268,
stops,stop_name,sv,Tröskhusgränden,1717,
stops,stop_name,sv,Nagu skärgårdsväg 40 S,8195,
stops,stop_name,sv,Korkisbacksvägen,247,
stops,stop_name,sv,Fyrstranden,1700,
stops,stop_name,sv,Telegatan,189,
stops,stop_name,sv,Mäkelävägen,1144,
stops,stop_name,sv,Landshövdingsgatan,1537,
stops,stop_name,sv,Kuratorsstigen,450,
stops,stop_name,sv,Stormbyn,1739,
stops,stop_name,sv,Postcentralen,1540,
stops,stop_name,sv,Varnagatan,487,
stops,stop_name,sv,Niuskalagatan,803,
stops,stop_name,sv,Hunäsvägen Ö,8176,
stops,stop_name,sv,Kärrtorpsgränden,1363,
stops,stop_name,sv,Axparken,784,
stops,stop_name,sv,Skärgårdsvägen 6166 Ö,8266,
stops,stop_name,sv,Kaivois,1752,
stops,stop_name,sv,Korpovägen 236 Ö,8276,
stops,stop_name,sv,Brinkhallsvägen,377,
stops,stop_name,sv,Fölvägen,264,
stops,stop_name,sv,Elinavägen,215,
stops,stop_name,sv,Tengströmsgatan,181,
stops,stop_name,sv,Kähärivägen,1025,
stops,stop_name,sv,Lavparken,1216,
stops,stop_name,sv,Hongaisstranden,94,
stops,stop_name,sv,Kärsämäki skola,194,
stops,stop_name,sv,Patis kyrka,1127,
stops,stop_name,sv,Kölgatan,1698,
stops,stop_name,sv,Kaskisgatan,1689,
stops,stop_name,sv,Ankokvägen N,8331,
stops,stop_name,sv,Lastgatan,1435,
stops,stop_name,sv,Särkilaxvägen,1481,
stops,stop_name,sv,Kakskertagården,1238,
stops,stop_name,sv,Grävlingsbacksvägen,1287,
stops,stop_name,sv,Övre S:t Marie,396,
stops,stop_name,sv,Runsalabron,574,
stops,stop_name,sv,Uittamo,920,
stops,stop_name,sv,Kuppisparken,470,
stops,stop_name,sv,Muhkuri,1542,
stops,stop_name,sv,Norrströmsvägen N,8213,
stops,stop_name,sv,Trätorget,1792,
